PROVINCECODE,DEVICEID,IFINDEX,FRAME,SLOT,PORT,ONUINDEX,ONUID,TIME,SPEEDIN,SPEEDOUT
HKD,2222771642618,6828878457269,1,1,13,20,222277164261810113020,01/08/2019 11:38:33,2992,2947
HKD,2222771642618,6828878457269,1,1,13,21,222277164261810113021,01/08/2019 11:38:33,31271245,1414548
HKD,2222771642618,6828878457269,1,1,13,2,222277164261810113002,01/08/2019 11:38:33,677495,20658
HKD,2222771642618,6828878457269,1,1,13,3,222277164261810113003,01/08/2019 11:38:33,0,0
HKD,2222771642618,6828878457269,1,1,13,1,222277164261810113001,01/08/2019 11:38:33,1366458,42488
HKD,2222771642618,6828878457269,1,1,13,6,222277164261810113006,01/08/2019 11:38:33,541783,29639
HKD,2222771642618,6828878457269,1,1,13,7,222277164261810113007,01/08/2019 11:38:33,1279405,77334
HKD,2222771642618,6828878457269,1,1,13,5,222277164261810113005,01/08/2019 11:38:33,207976,6606
HKD,2222771642618,7641575476208,1,1,9,26,222277164261810109026,01/08/2019 11:38:33,246,248
HKD,2222771642618,7641575476208,1,1,9,24,222277164261810109024,01/08/2019 11:38:33,1526,925
HKD,2222771642618,7641575476208,1,1,9,25,222277164261810109025,01/08/2019 11:38:33,911216,78139
HKD,2222771642618,7641575476208,1,1,9,30,222277164261810109030,01/08/2019 11:38:33,1850815,42632
HKD,2222771642618,7641575476208,1,1,9,28,222277164261810109028,01/08/2019 11:38:33,63442,52402
HKD,2222771642618,7641575476208,1,1,9,29,222277164261810109029,01/08/2019 11:38:33,703547,52622
HKD,2222771642618,7641575476208,1,1,9,10,222277164261810109010,01/08/2019 11:38:33,1410064,988212
HKD,2222771642618,7641575476208,1,1,9,11,222277164261810109011,01/08/2019 11:38:33,3836,2350
HKD,2222771642618,7641575476208,1,1,9,8,222277164261810109008,01/08/2019 11:38:33,1987864,112184
HKD,2222771642618,7641575476208,1,1,9,9,222277164261810109009,01/08/2019 11:38:33,3085271,77076
HKD,2222771642618,7641575476208,1,1,9,14,222277164261810109014,01/08/2019 11:38:33,208141,20494
HKD,2222771642618,7641575476208,1,1,9,15,222277164261810109015,01/08/2019 11:38:33,2355,1501
HKD,2222771642618,7641575476208,1,1,9,12,222277164261810109012,01/08/2019 11:38:33,190,141
HKD,2222771642618,7641575476208,1,1,9,13,222277164261810109013,01/08/2019 11:38:33,3946172,226040
HKD,2222771642618,7641575476208,1,1,9,18,222277164261810109018,01/08/2019 11:38:33,3432994,81747
HKD,2222771642618,7641575476208,1,1,9,19,222277164261810109019,01/08/2019 11:38:33,75,26
HKD,2222771642618,7641575476208,1,1,9,16,222277164261810109016,01/08/2019 11:38:33,39503,32827
HKD,2222771642618,7641575476208,1,1,9,17,222277164261810109017,01/08/2019 11:38:33,345187,27101
HKD,2222771642618,7641575476208,1,1,9,22,222277164261810109022,01/08/2019 11:38:33,2757049,140074
HKD,2222771642618,7641575476208,1,1,9,23,222277164261810109023,01/08/2019 11:38:33,1598339,103200
HKD,2222771642618,7641575476208,1,1,9,20,222277164261810109020,01/08/2019 11:38:33,549865,15087
HKD,2222771642618,7641575476208,1,1,9,21,222277164261810109021,01/08/2019 11:38:33,3855420,225276
HKD,2222771642618,7641575476208,1,1,9,2,222277164261810109002,01/08/2019 11:38:33,8303,1869
HKD,2222771642618,7641575476208,1,1,9,3,222277164261810109003,01/08/2019 11:38:33,4682,660
HKD,2222771642618,7641575476208,1,1,9,1,222277164261810109001,01/08/2019 11:38:33,810662,45747
HKD,2222771642618,7641575476208,1,1,9,6,222277164261810109006,01/08/2019 11:38:33,2386282,39088
HKD,2222771642618,7641575476208,1,1,9,7,222277164261810109007,01/08/2019 11:38:33,1634627,98610
HKD,2222771642618,7641575476208,1,1,9,4,222277164261810109004,01/08/2019 11:38:33,26297,10254
HKD,2222771642618,7641575476208,1,1,9,5,222277164261810109005,01/08/2019 11:38:33,1005815,72893
HKD,2222771642618,6527998396471,1,1,5,56,222277164261810105056,01/08/2019 11:38:33,3082033,171603
HKD,2222771642618,6527998396471,1,1,5,42,222277164261810105042,01/08/2019 11:38:33,559718,27845
HKD,2222771642618,6527998396471,1,1,5,40,222277164261810105040,01/08/2019 11:38:33,1033651,78055
HKD,2222771642618,6527998396471,1,1,5,41,222277164261810105041,01/08/2019 11:38:33,3409555,162983
HKD,2222771642618,6527998396471,1,1,5,50,222277164261810105050,01/08/2019 11:38:33,789227,14832
HKD,2222771642618,6527998396471,1,1,5,51,222277164261810105051,01/08/2019 11:38:33,1695229,128462
HKD,2222771642618,6527998396471,1,1,5,49,222277164261810105049,01/08/2019 11:38:33,1735054,68768
HKD,2222771642618,6527998396471,1,1,5,54,222277164261810105054,01/08/2019 11:38:33,424471,11748
HKD,2222771642618,6527998396471,1,1,5,55,222277164261810105055,01/08/2019 11:38:33,2200863,188897
HKD,2222771642618,6527998396471,1,1,5,52,222277164261810105052,01/08/2019 11:38:33,3428325,193677
HKD,2222771642618,6527998396471,1,1,5,53,222277164261810105053,01/08/2019 11:38:33,1482504,108420
HKD,2222771642618,6527998396471,1,1,5,26,222277164261810105026,01/08/2019 11:38:33,5817918,208334
